Part Number,Model,Description,QTY
11222001000806,AUX AC Models,Remote Control (YKR-H/101E),5
FS71-ESIM-IOT,EG910L,Ecoer HVAC IoT Device Gateway,0
FS71-ESIM-TOOLKIT,G910L,Ecoer HVAC IoT Device Gateway - Toolkit,0
EST01,THERMOSTAT,Pearl White,0
E-EHK-15B,WHE1502BX (15 KW),Electric Heat Kit,0
EAHTAN-36,EAHTAN-36,Air Handler Fan,0
EAHTAN-60,EAHTAN-60,Air Handler Fan,0
2313000005,36K-LBB001,EMI Filter Board with Red Cable,0
2313000006,60K-LBB001,EMI Filter Board with Red Cable,0
CUSTOMPART5,CUSTOM MADE PART,Heat Shrink Tube 10 m - Roll ,0
CUSTOMPART1,CUSTOM MADE PART,Noise Filter,0
11002015015864,EAHAEC-36,Brushless DC Motor,0
15823100000745,EAHAEC-36,Evaporator Assembly,0
12200101000253,EAHAEC-36,Fan assembly,0
12123100000024,EAHAEC-36,Main Water collector assembly,0
12123100000063,EAHAEC-36,Secondary Drain Pan,0
17122000059682,EAHAEC-36 / EAHAEC-60,Data conversion module,0
17123000010342,EAHAEC-36 / EAHAEC-60,Main Control Board,0
11201007003437,EAHAEC-36 / EAHAEC-60,Pipe Temperature Sensor,0
11201007004863,EAHAEC-36 / EAHAEC-60,Pipe Temperature Sensor,0
17317000A66251,EAHAEC-36 / EAHAEC-60,Remote Control,0
11201007004864,EAHAEC-36 / EAHAEC-60,Room Temperature Sensor,0
11203103002659,EAHAEC-36 / EAHAEC-60,Transformer,0
15500213000265,EAHAEC-36 / ESCA16H-36,Electronic expansion valve,0
11002015015863,EAHAEC-60,Brushless DC Motor,0
15823100000744,EAHAEC-60,Evaporator Assembly,0
12200101000007,EAHAEC-60,Fan assembly,0
12123100000027,EAHAEC-60,Main Water collector assembly,0
12123100000023,EAHAEC-60,Secondary Drain Pan,0
15500213000245,EAHAEC-60 / ESCA16H-60,Electronic expansion valve,0
56000001009,EAHATN,Fuse,0
230701521,EAHATN,Rubber Blanket Gasket for Motor,0
230904147,EAHATN-24 / EAHATN-24B,Brushless DC Motor (22001-000456),0
210836914,EAHATN-24 / EAHATN-24B,"Centrifugal Fan (Entrance size : 11 1/2 x 10 1/2"")",0
210836947,EAHATN-24 / EAHATN-24B,Duct Components,0
230803521,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Cover Board,0
230803524,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Downside Board Assembly,0
230701545,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,"Drainage Pan I (20 1/2"" Wide x 19 1/8"" Deep)[Plastic Drain Pan]",0
230803532,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,"Drainage Pan II (20 1/4"" Wide x 13 1/2"" Deep)[Metal Drain Pan]",0
230803519,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Electronic Control Cover Plate,0
231235787,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,"Evaporator Assembly (17 Length x 17 Width x  21"" Height)",0
231235904,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,"Evaporator Coil  (17 Length x 17 Width x  21"" Height)",0
231235915,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Input Pipe Assembly (Evaporator),0
231235905,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Output Pipe Assembly (Evaporator),0
231235928,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Thermostatic Expansion Valve (067L5955 ),0
230803526,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B,Upside Board Assembly,0
230803528,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B ,Base Assembly,0
231235917,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B ,Distributor Assembly,0
230803522,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B ,Supporter Assembly,0
230803531,EAHATN-24 / EAHATN-36 / EAHATN-24B / EAHATN-36B ,Water Tray Brace,0
2399000007B,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Anti-Cold Airflow Board (NO Cables),0
2399000007,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Anti-Cold Airflow Kit (With Cables),0
NS00301,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Blossom Ratchet to fasten indoor blower housing bolts,0
230904223,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Grey wiring to ECM Tap 1,0
NS00300,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,L-type Wrench to fasten indoor blower housing bolts,0
230803120,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Screw for Air filter cover of Handler,0
230803121,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Screws for Condenser,0
230904308,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Screws for MCB Terminal (L1/L2/P2/P3),0
230904224,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Violet W2 Wiring for E series Cn8 to W2 terminal,0
230904222,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60,Wiring Harness to CN9 of PCB,0
230803564,EAHATN-24 / EAHATN-36 / EAHATN-48 / EAHATN-60 / EAHATN-24B / EAHATN-36B / EAHATN-48B / EAHATN-60B,Bolt,0
